adjuster_id,cluster_id,skill_business,skill_personal,will_travel,home_city,home_state,home_lat,home_lon,claims,onsite_claims,online_claims,has_onsite
81400507,3,3,4,True,Maryland Heights,MO,38.7150511,-90.435999,44,38,6,True
82687551,6,3,4,True,Walnut Creek,CA,37.9020731,-122.0618702,60,56,4,True
84568374,6,3,4,True,Houston,TX,29.7589382,-95.3676974,60,56,4,True
88856717,7,3,4,True,Charlotte,NC,35.2272086,-80.8430827,87,80,7,True
90334978,7,3,4,True,Franklin,TN,35.925206,-86.8689419,87,80,7,True
94671385,8,3,4,True,Birmingham,AL,33.5206824,-86.8024326,81,56,25,True
99766264,8,3,4,True,Maryland Heights,MO,38.7150511,-90.435999,81,56,25,True
66643743,5,3,5,True,Chantilly,VA,38.885219,-77.4486772,52,44,8,True
79478179,7,3,5,True,Indianapolis,IN,39.7683331,-86.1583502,87,80,7,True
23257451,10,1,4,True,Edison,GA,31.5581741,-84.7381045,49,43,6,True
39267987,18,1,4,True,Tampa,FL,27.9449854,-82.4583107,7,7,0,True
56083320,3,1,4,True,Marlton,NJ,39.9005585,-74.9338911,44,38,6,True
95561381,3,1,4,True,Boston,MA,42.3588336,-71.0578303,44,38,6,True
17932464,2,4,5,True,White Plains,NY,41.0339862,-73.7629097,54,47,7,True
26130629,2,4,5,True,Houston,TX,29.7589382,-95.3676974,54,47,7,True
45149910,7,4,5,True,Houston,TX,29.7589382,-95.3676974,87,80,7,True
70853633,8,4,5,True,Saint Paul,MN,44.9497487,-93.0931028,81,56,25,True
83212066,7,0,4,True,Virtual,SC,34.1718723,-82.1564776,87,80,7,True
87025921,24,3,2,True,Knoxville,TN,35.9603948,-83.9210261,2,2,0,True
